date_dt,observedCounts,fittedCounts,PointPValues,color,level,PointLogOdds,AlertScore,AlertScorePvalue,LogOddsRatio,Delta,Scale,AlertPeriodStart,AlertPeriodEnd,surveillance_condition,surveillance_reported_hsda_abbr,status,disease_region_id,level_alertscore
5/19/2018,5,4.476064219,0.377857033,black,no alert,-0.216562685,-0.395570555,0.653789069,-0.153720829,-0.789741441,1.140847194,5/20/2018,5/26/2018,Campylobacter Infection,Fraser North,common,12,No Alert
5/26/2018,4,4.717083476,0.587576397,black,no alert,0.153720829,-0.395570555,0.653789069,-0.153720829,-0.789741441,1.140847194,5/20/2018,5/26/2018,Campylobacter Infection,Fraser North,common,12,No Alert
5/5/2018,4,6.216497521,0.937825995,black,no alert,0.579957731,-0.857645413,0.804455855,-1.178513419,0.823427327,1.103397433,4/29/2018,5/26/2018,Campylobacter Infection,Fraser South,common,13,No Alert
5/12/2018,4,6.176930873,0.937825995,black,no alert,0.56926327,-0.857645413,0.804455855,-1.178513419,0.823427327,1.103397433,4/29/2018,5/26/2018,Campylobacter Infection,Fraser South,common,13,No Alert
5/19/2018,5,6.166802764,0.937825995,black,no alert,0.264064291,-0.857645413,0.804455855,-1.178513419,0.823427327,1.103397433,4/29/2018,5/26/2018,Campylobacter Infection,Fraser South,common,13,No Alert
5/26/2018,4,6.217705203,0.937825995,black,no alert,0.580283973,-0.857645413,0.804455855,-1.178513419,0.823427327,1.103397433,4/29/2018,5/26/2018,Campylobacter Infection,Fraser South,common,13,No Alert
5/5/2018,0,1.190126377,0.793907001,black,no alert,0.723421625,-0.307870821,0.620909685,-0.091558165,-0.698898525,1.078453769,5/20/2018,5/26/2018,Campylobacter Infection,Richmond,common,14,No Alert
5/12/2018,1,1.232580621,0.793907001,black,no alert,0.03530192,-0.307870821,0.620909685,-0.091558165,-0.698898525,1.078453769,5/20/2018,5/26/2018,Campylobacter Infection,Richmond,common,14,No Alert
5/19/2018,2,1.281799347,0.253749634,black,no alert,-0.468479133,-0.307870821,0.620909685,-0.091558165,-0.698898525,1.078453769,5/20/2018,5/26/2018,Campylobacter Infection,Richmond,common,14,No Alert
5/26/2018,1,1.335969963,0.552510773,black,no alert,0.091558165,-0.307870821,0.620909685,-0.091558165,-0.698898525,1.078453769,5/20/2018,5/26/2018,Campylobacter Infection,Richmond,common,14,No Alert
5/5/2018,10,6.131487245,0.072191651,black,no alert,-1.1089713,-0.588908194,0.72203857,-0.875241636,0.763433682,1.014751166,5/13/2018,5/26/2018,Campylobacter Infection,Vancouver,common,15,No Alert
5/12/2018,6,6.346358259,0.851674669,black,no alert,0.04825581,-0.588908194,0.72203857,-0.875241636,0.763433682,1.014751166,5/13/2018,5/26/2018,Campylobacter Infection,Vancouver,common,15,No Alert
5/19/2018,4,6.559182722,0.851674669,black,no alert,0.706152443,-0.588908194,0.72203857,-0.875241636,0.763433682,1.014751166,5/13/2018,5/26/2018,Campylobacter Infection,Vancouver,common,15,No Alert
5/26/2018,5,6.760446456,0.851674669,black,no alert,0.44067216,-0.588908194,0.72203857,-0.875241636,0.763433682,1.014751166,5/13/2018,5/26/2018,Campylobacter Infection,Vancouver,common,15,No Alert
5/5/2018,2,3.250380597,0.470953747,black,no alert,0.448727237,0.911272069,0.18107602,0.822303642,0.41478438,0.965930741,5/20/2018,5/26/2018,Campylobacter Infection,North Shore/Coast Garibaldi,common,16,No Alert
5/12/2018,2,3.416745048,0.470953747,black,no alert,0.510041821,0.911272069,0.18107602,0.822303642,0.41478438,0.965930741,5/20/2018,5/26/2018,Campylobacter Infection,North Shore/Coast Garibaldi,common,16,No Alert
5/19/2018,3,3.593152791,0.470953747,black,no alert,0.163867204,0.911272069,0.18107602,0.822303642,0.41478438,0.965930741,5/20/2018,5/26/2018,Campylobacter Infection,North Shore/Coast Garibaldi,common,16,No Alert
5/26/2018,6,3.771193821,0.453801804,black,no alert,-0.822303642,0.911272069,0.18107602,0.822303642,0.41478438,0.965930741,5/20/2018,5/26/2018,Campylobacter Infection,North Shore/Coast Garibaldi,common,16,No Alert
5/5/2018,0,2.177429473,0.91014526,black,no alert,1.150246631,-0.0508265,0.520268113,-0.058814784,0.015716847,1.155618529,5/20/2018,5/26/2018,Campylobacter Infection,South Vancouver Island,common,17,No Alert
5/12/2018,2,2.220135114,0.91014526,black,no alert,0.006172569,-0.0508265,0.520268113,-0.058814784,0.015716847,1.155618529,5/20/2018,5/26/2018,Campylobacter Infection,South Vancouver Island,common,17,No Alert
5/19/2018,7,2.275364499,0.010105126,green3,low,-1.991047339,-0.0508265,0.520268113,-0.058814784,0.015716847,1.155618529,5/20/2018,5/26/2018,Campylobacter Infection,South Vancouver Island,common,17,No Alert
5/26/2018,2,2.347381847,0.533804861,black,no alert,0.058814784,-0.0508265,0.520268113,-0.058814784,0.015716847,1.155618529,5/20/2018,5/26/2018,Campylobacter Infection,South Vancouver Island,common,17,No Alert
5/5/2018,1,0.385596958,0.430120472,black,no alert,-0.630009409,0.347446394,0.364127992,0.614100593,-0.743579808,0.956824067,5/20/2018,5/26/2018,Campylobacter Infection,North Vancouver Island,common,18,No Alert
5/12/2018,1,0.387191271,0.430120472,black,no alert,-0.627871749,0.347446394,0.364127992,0.614100593,-0.743579808,0.956824067,5/20/2018,5/26/2018,Campylobacter Infection,North Vancouver Island,common,18,No Alert
5/19/2018,0,0.390879959,0.164695591,black,no alert,0.297183535,0.347446394,0.364127992,0.614100593,-0.743579808,0.956824067,5/20/2018,5/26/2018,Campylobacter Infection,North Vancouver Island,common,18,No Alert
5/26/2018,1,0.397595476,0.361621933,black,no alert,-0.614100593,0.347446394,0.364127992,0.614100593,-0.743579808,0.956824067,5/20/2018,5/26/2018,Campylobacter Infection,North Vancouver Island,common,18,No Alert
5/5/2018,2,0.585374658,0.07561638,black,no alert,-1.087236361,0.302595583,0.38109904,0.322702142,-0.011215174,1.101216797,5/20/2018,5/26/2018,Campylobacter Infection,Northern Interior,common,19,No Alert
5/12/2018,0,0.620520837,0.852080128,black,no alert,0.416956966,0.302595583,0.38109904,0.322702142,-0.011215174,1.101216797,5/20/2018,5/26/2018,Campylobacter Infection,Northern Interior,common,19,No Alert
5/19/2018,0,0.658064076,0.852080128,black,no alert,0.438290793,0.302595583,0.38109904,0.322702142,-0.011215174,1.101216797,5/20/2018,5/26/2018,Campylobacter Infection,Northern Interior,common,19,No Alert
5/26/2018,1,0.697197083,0.32233774,black,no alert,-0.322702142,0.302595583,0.38109904,0.322702142,-0.011215174,1.101216797,5/20/2018,5/26/2018,Campylobacter Infection,Northern Interior,common,19,No Alert
5/5/2018,0,0.456387217,0.872239237,black,no alert,0.321240439,-0.417209008,0.661737232,-0.02785187,-1.235775115,1.091357394,5/20/2018,5/26/2018,Cyclospora Infection,Province,rare,20,High
5/12/2018,0,0.639488287,0.872239237,black,no alert,0.429432627,-0.417209008,0.661737232,-0.02785187,-1.235775115,1.091357394,5/20/2018,5/26/2018,Cyclospora Infection,Province,rare,20,High
5/19/2018,2,0.893126651,0.147899024,black,no alert,-0.760525753,-0.417209008,0.661737232,-0.02785187,-1.235775115,1.091357394,5/20/2018,5/26/2018,Cyclospora Infection,Province,rare,20,High
5/26/2018,1,1.223440441,0.516027333,black,no alert,0.02785187,-0.417209008,0.661737232,-0.02785187,-1.235775115,1.091357394,5/20/2018,5/26/2018,Cyclospora Infection,Province,rare,20,High
5/5/2018,0,0.029889492,0.977110279,black,no alert,0.023551392,1.037801661,0.149681202,1.829239517,-2.205901543,1.180169568,5/20/2018,5/26/2018,Cyclospora Infection,Richmond,rare,21,High
5/12/2018,0,0.029757105,0.977110279,black,no alert,0.023448448,1.037801661,0.149681202,1.829239517,-2.205901543,1.180169568,5/20/2018,5/26/2018,Cyclospora Infection,Richmond,rare,21,High
5/19/2018,0,0.029630532,0.977110279,black,no alert,0.023350014,1.037801661,0.149681202,1.829239517,-2.205901543,1.180169568,5/20/2018,5/26/2018,Cyclospora Infection,Richmond,rare,21,High
5/26/2018,1,0.029510137,0.014600669,green3,low,-1.829239517,1.037801661,0.149681202,1.829239517,-2.205901543,1.180169568,5/20/2018,5/26/2018,Cyclospora Infection,Richmond,rare,21,High
5/5/2018,4,4.415512992,0.888716465,black,no alert,0.058465162,-0.659745561,0.745291438,-0.986552476,0.873358779,1.186360363,5/6/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Province,common,22,No Alert
5/12/2018,2,4.350281561,0.888716465,black,no alert,0.748858861,-0.659745561,0.745291438,-0.986552476,0.873358779,1.186360363,5/6/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Province,common,22,No Alert
5/19/2018,3,4.321311172,0.888716465,black,no alert,0.354383816,-0.659745561,0.745291438,-0.986552476,0.873358779,1.186360363,5/6/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Province,common,22,No Alert
5/26/2018,3,4.36399478,0.888716465,black,no alert,0.367237792,-0.659745561,0.745291438,-0.986552476,0.873358779,1.186360363,5/6/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Province,common,22,No Alert
5/5/2018,0,0.429160859,0.421599468,black,no alert,0.333418289,0.864313253,0.193707916,0.910553476,0.001538064,0.885450146,5/13/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Okanagan,common,23,No Alert
5/12/2018,0,0.413441889,0.421599468,black,no alert,0.322761728,0.864313253,0.193707916,0.910553476,0.001538064,0.885450146,5/13/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Okanagan,common,23,No Alert
5/19/2018,1,0.400229632,0.426170196,black,no alert,-0.606057767,0.864313253,0.193707916,0.910553476,0.001538064,0.885450146,5/13/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Okanagan,common,23,No Alert
5/26/2018,1,0.392218005,0.426170196,black,no alert,-0.616687847,0.864313253,0.193707916,0.910553476,0.001538064,0.885450146,5/13/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Okanagan,common,23,No Alert
5/5/2018,1,0.305038911,0.148430191,black,no alert,-0.758698011,0.843276779,0.199536833,0.790501443,0.29517099,1.108978232,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser North,common,24,No Alert
5/12/2018,0,0.295204196,0.712572475,black,no alert,0.216637617,0.843276779,0.199536833,0.790501443,0.29517099,1.108978232,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser North,common,24,No Alert
5/19/2018,0,0.288080384,0.712572475,black,no alert,0.211908083,0.843276779,0.199536833,0.790501443,0.29517099,1.108978232,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser North,common,24,No Alert
5/26/2018,1,0.285927259,0.139410255,black,no alert,-0.790501443,0.843276779,0.199536833,0.790501443,0.29517099,1.108978232,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser North,common,24,No Alert
5/5/2018,0,0.394577289,0.882678066,black,no alert,0.279889546,0.675139149,0.249793681,0.712048532,-0.001168148,1.116250581,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser South,common,25,No Alert
5/12/2018,0,0.363865837,0.882678066,black,no alert,0.260498382,0.675139149,0.249793681,0.712048532,-0.001168148,1.116250581,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser South,common,25,No Alert
5/19/2018,0,0.34299312,0.882678066,black,no alert,0.247142579,0.675139149,0.249793681,0.712048532,-0.001168148,1.116250581,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser South,common,25,No Alert
5/26/2018,1,0.335465182,0.162525986,black,no alert,-0.712048532,0.675139149,0.249793681,0.712048532,-0.001168148,1.116250581,5/20/2018,5/26/2018,Escherichia coli Infection (shiga-toxigenic),Fraser South,common,25,No Alert
5/5/2018,10,9.836060001,0.450807555,black,no alert,-0.085733369,-0.807523626,0.790317566,-0.715260328,-0.407832938,1.414627268,5/6/2018,5/26/2018,Giardia Infection,Province,common,26,No Alert
5/12/2018,8,9.597357092,0.838478106,black,no alert,0.253117025,-0.807523626,0.790317566,-0.715260328,-0.407832938,1.414627268,5/6/2018,5/26/2018,Giardia Infection,Province,common,26,No Alert
5/19/2018,6,9.396024537,0.838478106,black,no alert,0.661855146,-0.807523626,0.790317566,-0.715260328,-0.407832938,1.414627268,5/6/2018,5/26/2018,Giardia Infection,Province,common,26,No Alert
5/26/2018,8,9.259159155,0.838478106,black,no alert,0.188628478,-0.807523626,0.790317566,-0.715260328,-0.407832938,1.414627268,5/6/2018,5/26/2018,Giardia Infection,Province,common,26,No Alert
5/5/2018,0,0.14616029,0.229262094,black,no alert,0.124696316,0.953599239,0.170143271,1.111589329,-0.319222415,0.901947859,5/20/2018,5/26/2018,Giardia Infection,East Kootenay,common,27,No Alert
5/12/2018,0,0.145229832,0.229262094,black,no alert,0.123951585,0.953599239,0.170143271,1.111589329,-0.319222415,0.901947859,5/20/2018,5/26/2018,Giardia Infection,East Kootenay,common,27,No Alert
5/19/2018,0,0.144345639,0.229262094,black,no alert,0.123243376,0.953599239,0.170143271,1.111589329,-0.319222415,0.901947859,5/20/2018,5/26/2018,Giardia Infection,East Kootenay,common,27,No Alert
5/26/2018,1,0.143515996,0.431594774,black,no alert,-1.111589329,0.953599239,0.170143271,1.111589329,-0.319222415,0.901947859,5/20/2018,5/26/2018,Giardia Infection,East Kootenay,common,27,No Alert
5/5/2018,0,0.830944332,0.451693989,black,no alert,0.56056187,1.463000045,0.071733683,1.015243927,1.580680577,0.977131896,5/20/2018,5/26/2018,Giardia Infection,Okanagan,common,28,No Alert
5/12/2018,0,0.766244233,0.451693989,black,no alert,0.52398022,1.463000045,0.071733683,1.015243927,1.580680577,0.977131896,5/20/2018,5/26/2018,Giardia Infection,Okanagan,common,28,No Alert
5/19/2018,0,0.713038525,0.451693989,black,no alert,0.49335837,1.463000045,0.071733683,1.015243927,1.580680577,0.977131896,5/20/2018,5/26/2018,Giardia Infection,Okanagan,common,28,No Alert
5/26/2018,2,0.676887641,0.441553437,black,no alert,-1.015243927,1.463000045,0.071733683,1.015243927,1.580680577,0.977131896,5/20/2018,5/26/2018,Giardia Infection,Okanagan,common,28,No Alert
5/5/2018,1,2.147933261,0.77666374,black,no alert,0.438395894,0.243773321,0.403703192,0.458302322,-0.604028038,1.197083157,5/20/2018,5/26/2018,Giardia Infection,Vancouver,common,29,No Alert
5/12/2018,2,2.116304202,0.77666374,black,no alert,-0.04321396,0.243773321,0.403703192,0.458302322,-0.604028038,1.197083157,5/20/2018,5/26/2018,Giardia Infection,Vancouver,common,29,No Alert
5/19/2018,2,2.093599566,0.77666374,black,no alert,-0.052975557,0.243773321,0.403703192,0.458302322,-0.604028038,1.197083157,5/20/2018,5/26/2018,Giardia Infection,Vancouver,common,29,No Alert
5/26/2018,3,2.085091021,0.258212467,black,no alert,-0.458302322,0.243773321,0.403703192,0.458302322,-0.604028038,1.197083157,5/20/2018,5/26/2018,Giardia Infection,Vancouver,common,29,No Alert
5/5/2018,0,0.648448183,0.918965291,black,no alert,0.444635202,0.403771563,0.343190355,0.423941771,0.00501248,1.034294848,5/20/2018,5/26/2018,Giardia Infection,North Shore/Coast Garibaldi,common,30,No Alert
5/12/2018,0,0.613751285,0.918965291,black,no alert,0.424371032,0.403771563,0.343190355,0.423941771,0.00501248,1.034294848,5/20/2018,5/26/2018,Giardia Infection,North Shore/Coast Garibaldi,common,30,No Alert
5/19/2018,0,0.588559389,0.918965291,black,no alert,0.409494876,0.403771563,0.343190355,0.423941771,0.00501248,1.034294848,5/20/2018,5/26/2018,Giardia Infection,North Shore/Coast Garibaldi,common,30,No Alert
5/26/2018,1,0.574403926,0.27365399,black,no alert,-0.423941771,0.403771563,0.343190355,0.423941771,0.00501248,1.034294848,5/20/2018,5/26/2018,Giardia Infection,North Shore/Coast Garibaldi,common,30,No Alert
5/5/2018,4,0.607662114,0.021430127,green3,low,-1.931451563,0.444940351,0.328181431,0.404004578,0.195011196,1.488526084,5/20/2018,5/26/2018,Giardia Infection,Central Vancouver Island,common,31,No Alert
5/12/2018,0,0.624628648,0.821350553,black,no alert,0.366600935,0.444940351,0.328181431,0.404004578,0.195011196,1.488526084,5/20/2018,5/26/2018,Giardia Infection,Central Vancouver Island,common,31,No Alert
5/19/2018,0,0.639322352,0.821350553,black,no alert,0.374012037,0.444940351,0.328181431,0.404004578,0.195011196,1.488526084,5/20/2018,5/26/2018,Giardia Infection,Central Vancouver Island,common,31,No Alert
5/26/2018,1,0.651338762,0.282873,black,no alert,-0.404004578,0.444940351,0.328181431,0.404004578,0.195011196,1.488526084,5/20/2018,5/26/2018,Giardia Infection,Central Vancouver Island,common,31,No Alert
5/5/2018,3,2.043761638,0.055238505,black,no alert,-0.479052849,0.638663969,0.261520778,0.946126255,-0.818745962,1.185890376,5/20/2018,5/26/2018,Haemophilus Influenzae (invasive non-type b-type unknown),Province,common,32,No Alert
5/12/2018,1,2.012040535,0.930514694,black,no alert,0.384718209,0.638663969,0.261520778,0.946126255,-0.818745962,1.185890376,5/20/2018,5/26/2018,Haemophilus Influenzae (invasive non-type b-type unknown),Province,common,32,No Alert
5/19/2018,0,1.969776696,0.930514694,black,no alert,1.048432514,0.638663969,0.261520778,0.946126255,-0.818745962,1.185890376,5/20/2018,5/26/2018,Haemophilus Influenzae (invasive non-type b-type unknown),Province,common,32,No Alert
5/26/2018,4,1.917332417,0.101694571,black,no alert,-0.946126255,0.638663969,0.261520778,0.946126255,-0.818745962,1.185890376,5/20/2018,5/26/2018,Haemophilus Influenzae (invasive non-type b-type unknown),Province,common,32,No Alert
5/5/2018,0,0.233165264,0.303117704,black,no alert,0.183604586,0.756426244,0.224696839,0.89028129,-0.278814057,0.996626272,5/20/2018,5/26/2018,Haemophilus Influenzae (invasive non-type b-type unknown),Fraser North,common,33,No Alert
